Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=49,,,,1.0,2,,1.0,Sim,ANA_2015_Audiência Pública nº 007/2015_18,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=49,,,,,João Miguel Nicolau Neto (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,1.0,,,6.0,12,2.0,3.0,Não,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Flávio Antônio Neiva (N/A),PJ,"Em uma das contribuições a Agência justificou o seu aproveitamento como: ""não é objeto"". Para fins de análise foi considerado como ""N/A"".",ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,2.0,2,,,Não,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,,PJ,,ABRAGEL (Associação Brasileira de Geração de Energia Limpa),,,Hidrelétrica
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,4.0,5,1.0,,Não,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Pedro Antonio Molinas (N/A),PJ,,Acquatool Consultoria,,,Consultoria
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,2.0,2,,,Não,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Anivaldo de Miranda Pinto (N/A),,,Comitê de bacia hidrográfica do São Francisco,,,Entidade formuladora de política pública
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,7.0,13,4.0,2.0,Sim,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,,PJ,,CEMIG (Companhia Energética de Minas Gerais S.A.),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,1.0,,,5.0,11,2.0,3.0,Sim,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Sonáli Cavalcanti Oliveira (N/A),PJ,"Em uma das contribuições a Agência justificou o seu aproveitamento como: ""não é objeto"". Para fins de análise foi considerado como ""N/A"".",CHESF (Companhia Hidrelétrica do São Francisco),,,Companhia de desenvolvimento
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,6.0,12,3.0,3.0,Sim,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Mônica Irion Almeida (N/A),PJ,"Em uma das contribuições a Agência justificou o seu aproveitamento como: ""rejeitar"". Para fins de análise foi considerado como ""Não"".",COPEL (Companhia Paranaense de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,1.0,2,,1.0,Sim,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Walter Muller (N/A),PJ,,ELETRONORTE (Centrais Elétricas do Norte do Brasil S/A),,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,,1,,1.0,Sim,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Marcelo Prais (N/A),PJ,,ONS (Operador Nacional do Sistema Elétrico),,Federal,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=52,,,,,1,,1.0,Não,ANA_2015_Audiência Pública nº 008/2015_19,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=52,,,,,Angelica Beccato (N/A),PJ,,Tijoá Participações e Investimentos,,,Hidrelétrica
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,1.0,,,2.0,3,,,Sim,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Ozeas Jordao da Silva (N/A),PJ,"Em uma das contribuições a Agência justificou o aproveitamento como ""em branco"", foi considerada para fins da análise como N/A.",UEPB (Universidade Estadual da Paraíba),,,Instituição de ensino e pesquisa
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,3.0,6,2.0,1.0,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Bruno Neves (N/A),PJ,"A contribuição aceita estava relacionada à ""forma"" segundo a Agência.",NVS Engenharia,,,Obras e infraestrutura
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,4.0,5,,1.0,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Alexandre Mees (N/A),PJ,,Mess Engenharia,,,Obras e infraestrutura
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,4.0,9,3.0,2.0,Sim,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Daniel Prenda de Oliveira Aguiar (N/A),PJ,,"SVDS (Secretaria Verde, Meio Ambiente e Desenvolvimento Sustentável da Prefeitura Municipal de Campinas)",,Executivo Municipal,Entidade do Poder Executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,34.0,56,8.0,14.0,Sim,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Wong Sui Tung (N/A); Doralice Lemos (N/A); João Miguel Nicolau Neto (N/A); Armando Mariano (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,1.0,,,,1,,,Sim,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Monica Lucia Milfont de Souza (N/A),PJ,"Contribuição teve o aproveitamento justificado como ""em branco"", foi considerada para fins da análise como N/A.",CAESB (Companhia de Saneamento Ambiental do Distrito Federal),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,2.0,4,,2.0,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Manuel de Almeida Martins (N/A),PJ,,Almacom Engenharia,,,Obras e infraestrutura
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,2.0,2,,,Sim,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Aline Costa (N/A),PJ,,CENAD (Centro Nacional de Gerenciamento de Riscos e Desastres do Ministério da Integração Nacional),,Executivo Federal,Entidade do Poder Executivo
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,4.0,4,,,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Maria Galleno S Oliveira (N/A),PJ,,JCOliveira Advocacia e Consultoria Associados,,,Escritório de advocacia
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,11.0,16,1.0,4.0,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=54,,,,1.0,3,,2.0,Não,ANA_2016_Audiência Pública nº 001/2016_20,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=54,,,,,Edmilson Cardoso Santana (N/A),PJ,,Neoenergia,,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,7.0,,,5.0,12,,,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,Anderson de Oliveira Lima (N/A),PJ,"Em uma das contribuições, o seu aproveitamento foi atribuído pela Agência como ""Não"", contudo, como o campo da contribuição estava em branco, para fins de análise foi considerado ""N/A"". Os outros seis ""N/A ""que somam a esse se referem à menção da Agência ""Não se aplica"".",CAGECE (Companhia de Água e Esgoto do Ceará),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,1.0,,,7.0,10,,2.0,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,Marcílio C. Oliveira (N/A),PJ,,COGERH (Companhia de Gestão dos Recursos Hídricos do Ceará),,Estadual,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,1.0,,,7.0,10,1.0,1.0,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,Rodrigo Cantalupo de Lira (N/A),PJ,"Uma das contribuições teve aproveitamento atribuído como ""Não se Aplica"", foi considerada para fins da análise como N/A.",COMPESA (Companhia Pernambucana de Saneamento),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,,,,,1,1.0,,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,Juliana Ribeiro Silveira (N/A),PJ,,MI (Ministério da Integração Nacional),,Executivo Federal,Entidade do Poder Executivo
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,6.0,,,19.0,25,,,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,,PJ,,Governo do Estado do Rio Grande do Norte,,Executivo Estadual,Entidade do Poder Executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,6.0,,,23.0,36,1.0,6.0,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,Kenia Regia Anasenko Marcelino (N/A),PJ,"Seis contribuições foram atribuída pela Agência como ""Não se aplica"", foram consideradas para fins da análise como N/A.",CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,,,,2.0,2,,,Sim,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,,PJ,"A Agência a justifcou o aproveitamento de duas contribuições como impossibilitados de serem aproveitados: "" foram enviadas duas contribuições, contudo, as mesmas não foram possíveis de serem considerados pois o arquivo não abria"".",SEAE (Secretaria de Acompanhamento Econômico do Ministério da Fazenda),,Executivo Federal,Entidade do Poder Executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=58,1.0,,,3.0,4,,,Não,ANA_2016_Audiência Pública nº 002/2016_21,http://audienciapublica.ana.gov.br/arquivos/Aud_002_2016_Relatorio_Avaliacao_Das_Contrib_Recebidas_.pdf,,,,,,PJ,"Uma das contribuições teve aproveitamento atribuído como ""Não se Aplica"", foi considerada para fins da análise como N/A.",EDP Energias do Brasil,,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=59,,3.0,,,3,,,Sim,ANA_2017_Audiência Pública nº 001/2017_22,N/D,,,,,Marcílio Caetano de Oliveira (N/A),PJ,"Nessa audiência ainda não constava o relatório de avaliação das contribuições, dessa forma não é possível atribuir se elas foram aceitas ou não.",COGERH (Companhia de Gestão dos Recursos Hídricos do Ceará),,Estadual,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=59,,1.0,,,1,,,Sim,ANA_2017_Audiência Pública nº 001/2017_22,N/D,,,,,Antonio Avelino Rocha de Neiva (N/A),PJ,"Nessa audiência ainda não constava o relatório de avaliação das contribuições, dessa forma não é possível atribuir se elas foram aceitas ou não.",CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=59,,9.0,,,9,,,Sim,ANA_2017_Audiência Pública nº 001/2017_22,N/D,,,,,Rafael Eduardo Teza de Souza (N/A),PJ,"Nessa audiência ainda não constava o relatório de avaliação das contribuições, dessa forma não é possível atribuir se elas foram aceitas ou não.",MI (Ministério da Integração Nacional),,Executivo Federal,Entidade do Poder Executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=59,,1.0,,,1,,,Sim,ANA_2017_Audiência Pública nº 001/2017_22,N/D,,,,,Fernando de Castro Lobo Júnior (N/A),PJ,"Nessa audiência ainda não constava o relatório de avaliação das contribuições, dessa forma não é possível atribuir se elas foram aceitas ou não.",COMPESA (Companhia Pernambucana de Saneamento),,,Abastecimento público e esgotamento sanitário
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=60,,,,2.0,6,3.0,1.0,Não,ANA_2017_Audiência Pública nº 002/2017_23,http://audienciapublica.ana.gov.br/arquivos/Aud_02_2017_Relatorio_Analise_Contribuicoes_Recebidas.pdf,,,,,,PJ,,FIESP (Federação das Indústrias do Estado de São Paulo),,,Indústria
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=60,,,,,2,2.0,,Sim,ANA_2017_Audiência Pública nº 002/2017_23,http://audienciapublica.ana.gov.br/arquivos/Aud_02_2017_Relatorio_Analise_Contribuicoes_Recebidas.pdf,,,,,Glauco Machado Requião (N/A),PJ,,SANEPAR (Companhia de Abastecimento do Paraná),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,2.0,,2,,,Não,ANCINE_2010__1,N/D,,,,,GUSTAVO COELHO MORETZSOHN (CINEASTA),PJ,,JG PRODUÇÕES,,,Produtora
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,5.0,,5,,,Não,ANCINE_2010__1,N/D,,,,,LARISSA BERY (PRODUTORA),PJ,,TRAQUITANA FILMES,,,Produtora
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,1.0,,1,,,Não,ANCINE_2010__1,N/D,,,,,ÍCARO C. MARTINS (PRESIDENTE),PJ,,APACI (Associação Paulista de Cineastas),,,Cineasta
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,1.0,,1,,,Não,ANCINE_2010__1,N/D,,,,,RAFAEL GEBER ANDREAZZA (ADVOGADO),PJ,,MOVIOLA FILMES,,,Produtora
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,1.0,,1,,,Não,ANCINE_2010__1,N/D,,,,,MURAH AZEVEDO (CINEASTA),PJ,,NEOHUMANO AUDIOVISUAL,,,Produtora
Ator Governamental,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,3.0,,3,,,Sim,ANCINE_2010__1,N/D,,,,,MARCELO DE MATOS RAMOS (COORDENADOR GERAL DE COMUNICAÇÃO E MÍDIA ),PJ,,SEAE/MF (Secretaria de Acompanhamento Econômico do Ministério da Fazenda),,Executivo Federal,Poder Executivo
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,9.0,,9,,,Não,ANCINE_2010__1,N/D,,,,,MARCOS JOSÉ MANHÃES MARINS (DIRETOR E ROTEIRISTA CINEMATOGRÁFICO),PJ,,FIBRA CINE VÍDEO,,,Produtora
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,2.0,,2,,,Não,ANCINE_2010__1,N/D,,,,,,PF,,EDUARDO ANTUNES DIAS,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,5.0,,5,,,Não,ANCINE_2010__1,N/D,,,,,RICARDO DIFINI LEITE (PRESIDENTE),PJ,,FENEC (Federação Nacional das Empresas Exibidoras Cinematográficas),,Exibidora,Indústria Audiovisual
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,2.0,,2,,,Não,ANCINE_2010__1,N/D,,,,,,PF,,ANGELISA STEIN,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-final-CotaTela.pdf,,,1.0,,1,,,Não,ANCINE_2010__1,N/D,,,,,,PF,,CARLOS MAURICIO SABBAG,,,Exibidora
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-controle-bilheteria.pdf,,,1.0,,1,,,Não,ANCINE_2011__4,N/D,,,,,,PF,,CEZAR MIGLIORIN,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-controle-bilheteria.pdf,,,1.0,,1,,,Não,ANCINE_2011__4,N/D,,,,,,PF,,ANTONIO MACHADO,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacao-controle-bilheteria.pdf,,,1.0,,1,,,Não,ANCINE_2011__4,N/D,,,,,DANIEL FURIATI SROULEVICH (PRODUTOR),PJ,,CARIBE PRODUCOES LTDA,,,Produtora
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,2.0,9.0,13,1.0,1.0,Não,ANCINE_2011__6,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,,N/D,PJ,"Contribuiram 13 vezes. Dessas 13 contribuições, 1 foi acatada inteiramente. 9 foram negadas inteiramente. 1 foi acatada parcialmente. 2 não fica claro. A ANCINE não informa quem foi o responsável PF por enviar.",ABPI-TV (Associação Brasileira de Produtoras Independentes de Televisão) / Brasil Audiovisual Independente (BRAVI),,Produtora,Indústria Audiovisual
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINcoproducao-internacional.pdf,3.0,,,5.0,8,,,Não,ANCINE_2011__6,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINcoproducao-internacional.pdf,,,,,N/D,PJ,"Contribuiram 8 vezes. Dessas 8 contribuições, 5 foram negadas inteiramente. 3 foram pedidos de esclarecimento por parte da associação. Quanto a esses pedidos de esclarecimento, vou clasificá-los como N/A no ponto em que buscamos saber se eles foram ou não acatados pela agência (não se trata aqui de pedido de sugestão e sim de esclarecimentos)",ABPTA (Associação Brasileira dos Programadores de TV por Assinatura) / TAP BRASIL - ASSOCIAÇÃO DOS PROGRAMADORES DE TELEVISÃO,,,Home Video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,2.0,2,,,Não,ANCINE_2011__6,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINcoproducao-internacional.pdf,,,,,,PF,"Contribuiu 2 vezes. Dessas 2 contribuições, as 2 foram negadas.",LEONARDO M BARROS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,1.0,6,3.0,2.0,Não,ANCINE_2011__6,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,,,PF,"Contribuiu 6 vezes. Dessas 6 contribuições, 2 foram inteiramente acatadas. 3 foram parcialmente acatadas. 1 foi negada. Ainda não sei como definir (como categorizar) um servidor da própria agencia participando do processo de servidor da própria agencia",ALBERTO JAIME FLAKSMAN,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,,1,,1.0,Não,ANCINE_2011__6,https://www.ancine.gov.br/sites/default/files/consultas-publicas/RELATORIO%20DE%20CONSULTA%20PUBLICA_IN%20Cop%20Internacional%20COT.pdf,,,,,,PF,Contribuiu 1 vez e teve sua contribuição integralmente acatada. Ainda não sei como definir (como categorizar) um servidor da própria agencia participando do processo de consulta publica diretamente como pf.,LUIS MAURICIO LOPES BORTOLOTI,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,3.0,,2.0,4.0,15,4.0,2.0,Não,ANCINE_2012__8,N/D,,,,,MIRELA OLIVA GIRARDI (PRODUTORA),PJ,"Contribuiu 15 vezes. Dessas 15, 2 são integralmente acatadas, 4 são integralmente negadas, 2 não há clareza quanto a serem aceitas ou não, 4 são parcialmente acatadas e 3 são pedidos de esclarecimento, que colocarei como N/A.",CONSPIRAÇÃO FILMES,,,Produtora
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,2.0,,,2.0,7,,3.0,Não,ANCINE_2012__8,N/D,,,,,IDIMEU TOMAZ DE AQUINO (CONTROLLER),PJ,"Contribuiu 7 vezes. Dessas 7, 3 foram integralmente acatadas, 2 foram negadas e 2 foram sugestões que coube a ancine apenas esclarecer alguns pontos.",BOSSA NOVA FILMS CRIAÇÕES E PRODUÇÕES LTDA,,,Produtora
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,4.0,,,5.0,9,,,Não,ANCINE_2012__8,N/D,,,,,CARLOS ALKIMIM (DIRETOR EXECUTIVO),PJ,Aqui foi complicado definir o que foi negado e o que simplesmente não se aplicava pois muitas das sugestões dadas pela referida associação já se verificavam na prática mesmo sem a mudança proposta por eles.,ABPTA (Associação Brasileira dos Programadores de TV por Assinatura) / TAP BRASIL - ASSOCIAÇÃO DOS PROGRAMADORES DE TELEVISÃO,,,Home Video
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,4.0,,,5.0,18,4.0,3.0,Não,ANCINE_2012__8,N/D,,,,,LUCAS TOSI SOUSSUMI MOURA (ANALISTA DE PROJETOS),PJ,"Muitas emrpesas e asssociações mandaram a mesma sugestão, por vezes com a escrita idêntica. Outro ponto relevante DESTA CONTRIBUIÇÃO é que uma mesma pessoa mandava a mesma sugestão mais de uma vez referente a diversos artigos.",ABPI-TV (Associação Brasileira de Produtoras Independentes de Televisão) / Brasil Audiovisual Independente (BRAVI),,Produtora,Indústria Audiovisual
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,4.0,,1.0,2.0,12,3.0,2.0,Sim,ANCINE_2012__8,N/D,,,,,PEDRO FERNANDO COSTA MACHADO (ADVOGADO),PJ,Sugeriu a mesma coisa mais de uma vez. Contabilizei como duas sugestões diferentes.,TV CULTURA,,,Home Video
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Relat%C3%B3rio%20de%20Consulta%20P%C3%BAblica%20In%2022.pdf,4.0,,,4.0,14,5.0,1.0,Não,ANCINE_2012__8,N/D,,,,,VICENCIA LUSTOSA MORAIS (GERENTE SINDICAL),PJ,,SICAV (Sindicato Interestadual da Indústria Audiovisual),,,Indústria audiovisual
,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FRANCISCO ANTONIO VALENTE NETO (GERENTE DE CONTAS),,,NEC LATIN AMERICA SA,,,
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,6.0,,6,,,?,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FERNANDO BOUSSO (ADVOGADO),PJ,Como classificar?,FUNDAÇÃO PADRE ANCHIETA - RÁDIO E TV EDUCATIVAS,,,Home Video
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,30.0,,30,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,KATIA COSTA DA SILVA PEDROSO (DIRETORA DE REGULAMENTAÇÃO),PJ,,TELEFÔNICA DO BRASIL S.A.,,,Home Video
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,MARCELO CONCOLATO MEJIAS (ADVOGADO),PJ,,TIM CELULAR S.A.,,,Home Video
